C|53304|77|M|Erik Norberg|läkare, Uppsala, 77 år
C|53305|51|M|Håkan Marklund|projektledare, Uppsala, 51 år
C|53306|37|K|Johanna Norberg|universitetsadjunkt, Uppsala, 37 år
C|53307|32|M|Niklas Hjelm Smith|tjänsteman, 32 år
C|53308|63|K|Kim Andersson|administratör, 63 år
C|53310|42|M|Per Ekegren|jurist, 42 år
C|53311|75|M|Leif Wernberg|f.d. konsult, Uppsala, 75 år
C|53312|56|K|Janine Bichara|sjuksköterska & företagare, Uppsala, 56 år
C|53313|63|M|Ismail Kamil|universitetslärare, Uppsala, 63 år
C|53314|46|K|Malin Sjöberg Högrell|ekonom & regionråd, Uppsala, 46 år
C|53315|77|K|Agneta Simonsson|f.d. egenföretagare, 77 år
C|383394|27|M|Wilhelm Berndtsson|27 år, yrkesofficer
C|383395|51|K|Pernilla Rosander|51 år, verksamhetskonsult Hovslagare
C|382644|50|M|Rickard Malmström|Kommunalråd/gymnasielärare, 50 år, Uppsala
C|382647|43|K|Linda Eskilsson|Miljö- och hälsoskyddsinspektör, 43 år, Uppsala
C|382646|43|M|Lars Friberg|Klimat- och energiexpert, 43 år, Uppsala
C|382645|46|K|Helena Nordström-Källström|Forskare AgrDr., 46 år, Uppsala
C|382642|41|M|Charles Pylad|Pol.mag/politisk sekreterare, 41 år, Uppsala
C|382639|48|K|Åsa Strahlemo|Kurator, 48 år, Björklinge
C|385048|39|M|Per Eric Rosén|programmerare, 39 år, Luthagen
C|385049|73|K|Elisabeth Ståhle|konsult, 73 år, Kungsängen
C|382636|51|M|Johan Edstav|Särskild utredare, 51 år, Uppsala
C|385051|30|K|Klara Ellström|FoU-sekreterare, 30 år, Kvarngärdet
C|383013|72|M|Bengt Fladvad|Egenföretagare, 72 år, Uppsala
C|382655|18|K|Alice Josephson|Student, 18 år, Uppsala
C|385054|23|M|Oliver Björklund|Avdelningschef, 23 år, Kåbo
C|382653|68|K|Eva Adler|Fd. speciallärare, 68 år, Uppsala
C|382662|40|M|Salvador Rincon Amat|Arbetsförmedlare, 40 år, Uppsala
C|382633|21|K|Andrea Byding|Studerande, 21 år, Uppsala
C|382634|31|M|Erik Apel|Politisk sekreterare, 31 år, Uppsala
C|382659|47|K|Tarja Onegård|Projektkoordinator, 47 år, Uppsala
C|385060|32|M|Warren Kunce|Biolog, 32 år, Gottsunda
C|385061|56|K|Susanne Engström|Universitetslektor, 56 år, Kvarngärdet
C|385062|47|M|Lennart Köhler|Företagare, 47 år, Centrum
C|383007|54|K|Susanna Tuvemo Johnson|Fysioterapeut/univ.adjunkt, 54 år, Uppsala
C|382652|28|M|Mattias Ekberg|Socionom, 28 år, Almunge
C|385065|31|K|Sanna Sundvall|Student, 31 år, Centrum
C|385066|60|M|Ahmad Orfali|Egenföretagare, 60 år, Kvarngärdet
C|383024|22|K|Thess Lorin|Barnskötare, 22 år, Uppsala
C|382648|29|M|Jonas Andersson|Processingenjör, 29 år, Uppsala
C|385069|75|K|Küllike Montgomery|Tidigare museichef, 75 år, Fålhagen
C|382998|49|M|Fredrik Leijerstam|Allmänläkare, 49 år, Uppsala
C|382661|41|K|Lene Schill|Studerande/verksamhetsutvecklare, 41 år, Uppsala
C|383011|49|M|Finn Hedman|Receptionist, 49 år, Uppsala
C|385073|34|K|Ida Sylwan|Civilingenjör, 34 år, Kvarngärdet
C|384096|61|M|Trond Svendsen|Civilingenjör, 61 år, Uppsala
C|385075|75|K|Kerstin Lundberg|Fil.kand, 75 år, Fjärdingen
C|385076|41|M|Paul Eskilsson|Jurist, 41 år, Valsätra
C|382667|72|K|Siw Björkgren|Agronom, 72 år, Uppsala
C|383017|26|M|Joachim Höggren|Politisk sekreterare, 26 år, Uppsala
C|385079|61|K|Pia-Maria Ivarsson|Universitetslektor, 61 år, Tunabackar
C|382666|69|M|Terence Hongslo|Civilingenjör, 69 år, Uppsala
C|382669|33|K|Ida Netzel|Anställd i försvarsmakten, 33 år, Uppsala
C|385082|71|M|Jan Hagerlid|Pensionär, 71, Stabby
C|385083|31|K|Celina Hongslo|Lärare, 31 år, Sala backe
C|385084|35|M|Andreas Lindholm|Lärare, 35 år, Stenhagen
C|382649|32|K|Åsa Ljusenius|Kommunikatör, 32 år, Uppsala
C|135099|50|M|Fredrik Ahlstedt|50 år, Kommunalråd, Uppsala
