T|Göteborg
A|2|201221|201222|201223|200507|201225|201226|201227|201228|200506|201230|201231|200521|201233|201234|201235|201236|200512|201238|200520|201240|201241|201242|200514|201244|201245|201246|201247|201248|201249|201250|200518|201252|201253|201254|200508|200513|201257|201258|201259|201260|201261|201262|201263|200519|201265|200515|201267|201268|201269|201270|201271|201272|201273|201274|201275|201276|201277|201278|201279|201280|201281|201282|201283|201284|201285|201286|201287|201288|201289|201290|201291|202666
A|4|1888|36656|36657|1882|36659|36660|36661|36662|36663|36664|36666|36667|36668|36669|36670|36671|36672|6159|36674|36675|36676|36677|36678|36679|36680|36681|36682|36683|36684|36685|36686|36687|36688|36689
A|1297|281046|281047|281048|281049|281050|281051|281052|281053|281054|281055|281056|281057|281058|281059|281060|281061|281062|281063|281064|281065|281066|281067|281068|281069|281070|281071|281072|281073|281074
A|1150|365282|514817
A|1136|469730|469731|469732|469733
A|532|188461|219308|185389|188425|276374|276375|219336|219296|276415|276488|276489|276490|276491|219337|276555|276556|276557|276558|276559|276560|276561
A|638|515695
C|285745|62|K|Inga-Lill Atterlöf|sjuksköterska
C|31814|44|M|David Lega|44, Kommunalråd, Göteborg
C|199936|43|K|Maria Berntsson|43, Statsvetare, Göteborg
C|199941|33|M|Kalle Bäck|33, Kommunikationskonsult, Göteborg
C|198314|72|M|Jörgen Knudtzon|72, Journalist, Billdal
C|199947|27|K|Karolina Mildgrim|27, Ombudsman, Göteborg
C|202796|61|M|Martin Kurzwelly|61, Ledarskapskonsult, Göteborg
C|202797|52|K|Kristina Norén Lallo|52, Handläggare , Torslanda
C|199935|31|M|Hampus Hagman|31, Stadssekreterare, Göteborg
C|198303|28|K|Linnea Klingström|28, Statstjänsteman, Göteborg
C|198306|61|M|Olof Jacobson|61, Områdeschef, Styrsö
C|199940|34|K|Matilda Granberg Stålbert|34, Bitr.rektor, Göteborg
C|199951|53|M|Augin Marawgeh|53, Förskollärare, Angered
C|198301|64|K|Rita Stålbert|64, Chef äldreomsorgen, Västra Frölunda
C|202804|62|M|Henrik Orrbeck|62, Utvecklingsledare, Västra Frölunda
C|199944|66|K|Marianne Andréas|66, Pastor, Göteborg
C|198308|30|M|Tobias Sandell|30, Student, Göteborg
C|202807|24|M|Pontus Fransson|24, Student, Västra Frölunda
C|199955|67|K|Anne Holmdahl|67, Socionom, Göteborg
C|202809|36|M|Erik Wickstrand|36, Pastor, Västra Frölunda
C|198304|57|M|Sören Runsteen|57, VD, Västra Frölunda
C|202811|36|M|Erik Granberg|35, Egen företagare, Göteborg
C|198307|71|K|Inga-Lill Adolfsson|71, Sjuksköterska, Göteborg
C|198316|27|M|Mathias Axelsson|27, Kommunikationskonsult, Göteborg
C|202814|74|K|Eva Thörn|73, Pensionär, Göteborg
C|202815|64|M|Peter Löfgren|64, Pensionär, Torslanda
C|199958|65|K|Marianne Bergman|65, Rederitjänsteman, Donsö
C|480151|58|M|Stefan Pehrson|tidningsbud/skribent, 58, Göteborg
C|480113|26|M|Charbel Rizk|student/teknisk analytiker, 26, Göteborg
C|507625|34|K|Sara Kling|butiksansvarig, 34, Angered
C|480104|41|K|Anette Westöö|fil.mag/lärare, 41, Göteborg
C|507627|33|M|Stefan Paradis|restaurangbiträde, 33, Angered/Göteborg
C|234031|53|K|Helene Odenjung|53 år, Skeppsmäklare
C|234032|64|K|Ann Catrine Fogelgren|64 år, Socionom
C|234033|36|M|Axel Darvik|36 år, Civilingenjör
C|234034|55|K|Eva Flyborg|55 år, f.d. Riksdagsledamot
C|234035|35|M|Pär Gustafsson|35 år, Tjänsteman
C|234036|45|K|Kristina Bergman Alme|45 år, Rektor
C|234037|56|M|Bo Anderssen|56 år, Behandlingsassistent
C|234038|27|K|Hanna Linnea Wettermark|27 år, Sjuksköterskestudent
C|234039|44|K|Mariah ben Salem Dynehäll|44 år, VD
C|234040|38|M|Sivert Aronsson|38 år, Skatterevisor
C|234041|45|K|Kristina Palmgren|45 år, Ekonom
C|234042|41|M|Jens Adamik|41 år, Socialsekreterare
C|234043|30|M|Björn Wikman|30 år, Integrationssamordnare
C|233751|56|K|Lotta Nachemson|56 år, Stiftelseansvarig
C|233767|50|M|Patrik Krantz|50 år, Företagare
C|234046|54|K|Birgitta Granquist|54 år, Egenföretagare
C|234047|53|M|Mats Rahmberg|53 år, Civilingenjör
C|234048|51|K|Åsa Keim|51 år, COO
C|233764|25|K|Gabriella Toftered|25 år, Masterstudent
C|234050|77|M|Lars Nordin|77 år, Byggnadsingenjör
C|234051|74|K|Birgitta Friberg|74 år, f.d. Lärare
C|234052|62|M|Björn Jedvert|62 år, Civilekonom
C|234053|25|M|Sharoken Hanna|25 år, CMO
C|233759|23|K|Victoria Viklund|23 år, Juriststudent
C|234055|54|K|Ewa Jablonska|54 år, Lärare
C|234056|49|M|Ingvar Gräns|49 år, Jurist
C|234057|72|K|Birgitta Jakosjin|72 år, Speciallärare
C|234058|56|K|Ann-Sofie Lagerstedt|56 år, Personalvetare
C|234059|76|K|Ulla Palmgren|76 år, f.d. Postkassör
C|234060|62|K|Ditte Nörby|62 år, Civilekonom
C|234061|31|M|David Skansholm|31 år, Medicinsk sekreterare
C|128550|35|M|Robin Ristander|35, Patentingenjör, Göteborg
C|128529|56|M|Karl Haargaard|56, Chaufför, Göteborg
C|128568|35|K|Alice Pernevi|35, Jurist, Göteborg
C|257615|29|M|Fredrik Dellby|29 Teknologie kandidat Göteborg
C|259798|39|M|Anders Hansson|39 brandman Göteborg
C|306672|55|M|Ulf Kamne|55 år, Majorna-Linné, miljökommunalråd
C|304610|56|K|Karin Pleijel|56 år, Östra Göteborg, lärare
C|306674|33|K|Emmali Jansson|33 år, Hisingen, ordförande byggnadsnämnden
