T|Östersund
A|1365|513996
C|106438|59|M|Peter Johansson|Riksombudsman, Östersund
C|106439|48|M|Stefan Sundberg|IT-konsult, Östersund
C|106440|73|M|Christer Jonsson|Företagare, Östersund
C|106442|70|K|Ginger Olofsson|Pensionär, Östersund
C|106443|48|K|Alexandra Boije af Gennäs|Fil.kand, Östersund
C|106444|67|M|Lars Rindö|Ingenjör, Östersund
C|106445|52|M|Stig Saether|Samhall, Östersund
C|106446|30|M|Sebastian Bergman|Handläggare, Östersund
C|150121|67|M|Arne Johansson|Jurist
C|343740|46|K|Lotta Blomberg|46 år, enhetschef, Erikslund
C|253061|54|M|Svante Freij|54 år, byggnadsantikvarie, Östersund
C|343742|29|K|Antonia Savva|29 år, studerande, Östersund
C|252537|32|M|Nisse Sandqvist|32 år, timvikarie LSS, Östersund
C|300379|67|K|Agneta Lögdquist Eriksson|67 år, pensionerad undersköterska, Östersund
C|253063|57|M|Johan Flander|57 år, boendehandledare/mentalskötare, Östersund
C|252084|41|K|Christina Hedin|41 år, utbildningssamordnare, Norderön
C|343747|45|K|Anna Hallqvist|45 år, handledare för pedagogiskt stöd, Torvalla
C|343748|36|K|Anne Svensson|36 år, statstjänsteman, Hackås
C|252538|45|K|Elin Hoffner|45 år, behandlingsassistent, Hara
C|253074|62|M|Stig Söderin|62 år, byggnadssnickare, Östersund
C|300376|46|K|Hanne Krogfjord|46 år, sjukskriven, Östersund
C|343752|76|M|Claes Malmquist|76 år, egen företagare, Orrviken
C|343753|50|K|Nazanin Oladi|50 år, lärare, Frösön
C|343754|52|M|Petter Stugvard|52 år, mejeriarbetare, Torvalla by
C|343755|32|M|Emil Kristiansson|32 år, distriktssköterska, Husås
C|343756|80|K|Inga-Karin Bergman|80 år, pensionerad lärare, Blomängen
C|343757|68|K|Karin Stjernefeldt|68 år, pensionerad socionom, Odensala
C|253060|57|M|Sonny Hoffman|57 år, tjänsteman, Östersund
C|343759|58|M|Reidar Lunde|58 år, lärare, Odensala
C|343760|43|M|Anders Lundgren|43 år, studentombud, Häggenås
