T|Valdemarsvik
A|2|24963|24907|95221|95222|95255|95256|24906|95258|24572|95260|95261|95262|95276|95277|95278|95294|95295|95296|95297|97979|97980|97981|97982|97983|98146|98147|98148|98149|98150|98151|98152|98153|98154
A|4|12037|14332|71404|71405|71406|71407|12133|71409|71410|71411|71412|71413|71414|71415|71416|71417|71418|71419|71420|71421
A|68|251464|251465|251466|251467|251468|251469|251470|251471|251472|251473|251474|251475|251476
A|1011|131402|165757|165772|165821|131403|165942|165943|165944|165945|165946|439187
A|3|249292|283528|283529
A|55|415603|421700|421701
A|1|3325|12895|15361|15362|15363|15364|15365|15366|15367|15368|15369|15370|15371|15372|15373|15374|15375|15376|15377|15378
A|984|375983|375984|375985|375986|375987|375988|375989|375990|375991|375992|375993|375994|375995|375996|375997|375998|375999|376000|376001|376002|376003|376004|376005
A|110|82061|82062|82063|82065|82066|82067|82068|82069|82070|82071|107001
A|5|71567|75528|75523|118573
C|375991|32|M|Gustav Eriksson|32 år, Grafisk Designer
C|375992|51|M|Robert Åkesson|51 år, Chaufför
C|375993|42|M|Fredrik Törnborg|42 år, Fritidssamordnare
C|375994|50|M|Mikael Nilsson|50 år, Militär
C|375995|44|K|Marie Nilsson|44 år, Controller
C|375996|43|M|Björn Jonsson|43 år, Företagare
C|375997|48|M|Per Rödin|48 år, Arbetsledare
C|375998|43|M|Niklas Krafft|43 år, Chaufför
C|375999|33|M|Oskar Sporre|33 år, Elektriker
C|376000|27|K|Lina Moberg|27 år, Butiksbiträde
C|376001|60|M|Michael Berglund|60 år, Koordinator
C|376002|27|M|Jonathan Ukne|27 år, Butiksbiträde
C|376003|48|M|Ronnie Hultgren|48 år, Husbyggare
C|376004|29|M|Pontus Jakobsson|29 år, Svetsare
C|376005|42|M|John Furenbäck|42 år, Landskapsbeskyddare
C|82061|52|M|Göran Hargestam|52, företagare, Valdemarsvik
C|82062|73|K|Eva Larsson|73, pensionär, Valdemarsvik
C|82063|71|M|Kurt Olsson|71, pensionär, Valdemarsvik
C|82065|70|M|Conny Larsson|70, författare, Valdemarsvik
C|82066|52|M|Robert Kronqvist|52, processtekniker, Valdemarsvik
C|82067|64|M|Jan Sturfält|64, företagare, Gryt
C|82068|68|K|Lena Sturegård|60, pensionär, Valdemarsvik
C|82069|63|K|Madeleine Koistinen|63, undersköterska, Valdemarsvik
C|82070|33|K|Liubov Parfiienko|33, nageltekniker, Valdemarsvik
C|82071|50|M|Jan Falc|50, lastbilschaufför, Gusum
C|107001|43|M|Ola Karlsson|43, arbetsledare, Valdemarsvik
C|71567|49|M|Jonas Andersson|49, Yrkeslärare, Gusum
C|75528|71|M|Olle Wester|71, Pens.Lärare, Ringarum
C|75523|57|M|Mikael Ståhl|57, Chaufför, Valdemarsvik
C|118573|70|M|Hans Lindahl|70, Pens. Lärare, Skrickerum
