DATUM;PASSNR;VVLEG;TAXINR;INKÖRT;KREDITER;UTLÄGG;ATT REDOVISA;EJ LÖNEGRUND EX MOMS;BUD;PERSONTRSP;UTRIKES;STARTTID;SLUTTID;INLOGGAD TID;RASTTID;TOTAL KM;BETALDA KM;OBETALDA KM;KM MELLAN PASS;ANTAL PÅSLAG;ANTAL BOM;ANTAL AVBEST
14-09-04;      1576;     819815;       1544;     3418,00;     3106,00;        0,00;      312,00;       65,12;        0,00;     3418,00;        0,00;0518;1558;1040;0000; 219,4; 151,1;  68,3;  14,5;            17;          1;          0;
14-09-04;      1577;     502769;       1544;     2901,00;     2901,00;        0,00;        0,00;      106,64;        0,00;     2901,00;        0,00;1700;0155;0855;0000; 291,6; 142,2; 149,4;  42,2;             8;          0;          1;
14-09-05;      1578;     819815;       1544;     3530,00;     3339,00;        0,00;      191,00;        0,00;        0,00;     3530,00;        0,00;0513;1532;1019;0000; 222,6; 152,8;  69,8;  23,7;            14;          0;          0;
14-09-05;      1579;     502769;       1544;     5725,00;     5774,00;        0,00;      -49,00;       45,30;        0,00;     5725,00;        0,00;1640;0434;1154;0000; 628,6; 361,4; 267,2;  12,0;            13;          0;          0;
14-09-06;      1580;     819815;       1544;     3903,00;     3933,00;        0,00;      -30,00;        0,00;        0,00;     3903,00;        0,00;0518;1547;1029;0000; 365,8; 300,4;  65,4;  41,2;             7;          0;          0;
14-09-06;      1581;     929069;       1544;     4838,00;     4771,00;        0,00;       67,00;        0,00;        0,00;     4838,00;        0,00;1641;0432;1151;0048; 255,8; 146,9; 108,9;   9,3;            21;          1;          0;
14-09-07;      1582;     929069;       1544;     3359,00;     3293,00;        0,00;       66,00;      161,36;        0,00;     3359,00;        0,00;1347;2239;0852;0000; 235,2; 136,8;  98,4;   6,0;            13;          1;          0;
14-09-08;      1583;     819815;       1544;     3012,00;     3045,00;        0,00;      -33,00;       79,28;        0,00;     3012,00;        0,00;0510;1555;1045;0000; 235,4; 159,6;  75,8;  15,9;            12;          1;          0;
14-09-08;      1584;     929069;       1544;     1368,00;     1368,00;        0,00;        0,00;       19,82;        0,00;     1368,00;        0,00;1644;2024;0340;0000;  61,7;  36,2;  25,5;  15,5;             4;          0;          0;
14-09-09;      1585;     819815;       1544;     3484,00;     3418,00;        0,00;       66,00;       59,46;        0,00;     3484,00;        0,00;0513;1536;1023;0000; 267,2; 185,4;  81,8;   0,0;            10;          1;          0;
